Timestamp,Score,เพศ,อายุ  ,ท่านกำลังศึกษาอยู่ในระดับ,จังหวัดที่ท่านกำลังอาศัยอยู่ในปัจจุบัน,ปกติท่านเล่นมือถือ / คอมพิวเตอร์ เฉลี่ยต่อวันเท่าไร,ท่านดู Youtube เฉลี่ยต่อวันเท่าไร,ท่านชอบคอนเทนต์แนวไหนมากที่สุด,ท่านเคยรับชมคอนเทนต์ที่มีสปอนเซอร์ หรือ รับชม Ads แล้วไปซื้อหรือไม่,ท่านสมัครสมาชิก Youtube Premium หรือไม่,ท่านชอบดู Youtube Shorts หรือไม่,ท่านมีความคิดเห็นกับการการยิง Ads ของ Youtube,ท่านมีความพึงพอใจต่อการดู Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการดู Youtube Shorts มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการใช้งาน Youtube Premium มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการรับชมคอนเทนต์ใน Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อกับสิ่งที่ได้รับจากแอพพลิเคชัน Youtube ในภาพรวม มากน้อยเพียงใด
8/23/2023 21:25:16,0,ชาย,10 - 20 ปี,ต่ำกว่าปริญญาตรี,เชียงใหม่,มากกว่า 12 ชั่วโมง,3 - 6 ชั่วโมง,บอร์ดเกม,เคย,ไม่สมัคร,ไม่ชอบดู,เหมาะสม,4,3,3,4,4
8/23/2023 21:37:12,0,หญิง,10 - 20 ปี,ต่ำกว่าปริญญาตรี,นนทบุรี,มากกว่า 12 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,4,3,4,4
8/23/2023 21:48:12,0,หญิง,10 - 20 ปี,ต่ำกว่าปริญญาตรี,นนทบุรี,มากกว่า 12 ชั่วโมง,6 - 9 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,4,3,4,4
8/23/2023 21:49:43,0,หญิง,10 - 20 ปี,ต่ำกว่าปริญญาตรี,นนทบุรี,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,4,3,3,4
8/23/2023 21:59:30,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เกม,ไม่เคย,สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,4,4,5,5,5
8/23/2023 22:02:56,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เกมโชว์,เคย,สมัคร,ไม่ชอบดู,เหมาะสม,5,3,5,5,4
8/23/2023 23:13:08,0,ชาย,10 - 20 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,4,3,4,3,3
8/23/2023 23:28:48,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,5,2,4,5
8/23/2023 23:29:26,0,หญิง,10 - 20 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เพลง,เคย,ไม่สมัคร,ชอบดู,เหมาะสม,5,5,5,5,5
8/23/2023 23:35:13,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,มากกว่า 12 ชั่วโมง,9 - 12 ชั่วโมง,การ์ตูน,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,5,5,5,5
8/23/2023 23:35:34,0,ชาย,10 - 20 ปี,ปริญญาตรี,กรุงเทพมหานคร,มากกว่า 12 ชั่วโมง,มากกว่า 12 ชั่วโมง,ASMR,ไม่เคย,สมัคร,ชอบดู,เพื่อ,1,1,5,5,5
8/23/2023 23:38:42,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,มากกว่า 12 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,การ์ตูน,เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,5,3,4,4
8/23/2023 23:43:37,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,ปลูกผัก,ไม่เคย,ไม่สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,5,5,5,4,5
8/23/2023 23:44:01,0,ชาย,10 - 20 ปี,ปริญญาตรี,ชลบุรี,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,การ์ตูน,ไม่เคย,สมัคร,ไม่ชอบดู,ใช้พรีเมี่ยมเลยไม่รู้ว่ามากหรือน้อยแค่ไหน,3,3,4,4,4
8/23/2023 23:57:17,0,หญิง,20 - 30 ปี,สูงกว่าปริญญาตรี,สงขลา,มากกว่า 12 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,4,4,5,5
8/23/2023 23:57:51,0,ชาย,10 - 20 ปี,ปริญญาตรี,ขอนแก่น,มากกว่า 12 ชั่วโมง,3 - 6 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,3,0,5,5
8/24/2023 1:01:08,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เล่าเรื่องผี,เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,4,2,5,5,5
8/24/2023 1:02:17,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,มากกว่า 12 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,3,3,0,4,3
8/24/2023 1:17:13,0,หญิง,20 - 30 ปี,ปริญญาตรี,ชัยภูมิ,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,5,3,5,4,5
8/24/2023 2:06:21,0,หญิง,50 ปีขึ้นไป,ต่ำกว่าปริญญาตรี,พังงา,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,ท่องเที่ยว,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,3,0,4,3
8/24/2023 2:34:30,0,หญิง,20 - 30 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,9 - 12 ชั่วโมง,3 - 6 ชั่วโมง,ท่องเที่ยว,ไม่เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,5,5,5,5,5
8/24/2023 3:59:39,0,หญิง,20 - 30 ปี,สูงกว่าปริญญาตรี,สุรินทร์,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,บอร์ดเกม,ไม่เคย,สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,4,2,5,5,3
8/24/2023 6:56:48,0,ชาย,20 - 30 ปี,ปริญญาตรี,สมุทรปราการ,3 - 6 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เพลง,ไม่เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,5,5,5,5
